signature,cell_type,delta,p,BH
candidates_T2D_up,Endothelial,0.104631532091269,0.00184816678002153,0.0110890006801292
candidates_T2D_down,LoH,0.036255053841307,0.0112831716810373,0.0676990300862237
candidates_T2D_down,PT,0.0136813905360971,0.134332333373343,0.40299700012003
candidates_T2D_up,PT,0.133842759249545,0.181073867591333,0.543221602773998
candidates_T2D_up,LoH,0.0685457407144833,0.29232460095169,0.56532058808443
candidates_T2D_up,T_cell,-0.0113626095127664,0.376880392056287,0.56532058808443
candidates_T2D_down,Distal_tubule,0.0235180761255001,0.557210403057135,0.894412877688788
candidates_T2D_up,Macrophage,-0.0181726029746777,0.614032817059836,0.672631614089806
candidates_T2D_up,Distal_tubule,-0.069488694566378,0.672631614089806,0.672631614089806
candidates_T2D_down,T_cell,-0.00171010028494869,0.728464420172082,0.894412877688788
candidates_T2D_down,Endothelial,0.00154789449386051,0.748245489682113,0.894412877688788
candidates_T2D_down,Macrophage,0.0038748374774827,0.894412877688788,0.894412877688788
candidates_T2D_up,B_cell,,,
candidates_T2D_up,CD_IC,,,
candidates_T2D_up,cDC,,,
candidates_T2D_up,Fibroblast_Pericyte,,,
candidates_T2D_up,Tubular_epithelium_other,,,
candidates_T2D_up,Proliferating,,,
candidates_T2D_up,Urothelium,,,
candidates_T2D_up,Neutrophil,,,
candidates_T2D_down,B_cell,,,
candidates_T2D_down,CD_IC,,,
candidates_T2D_down,cDC,,,
candidates_T2D_down,Fibroblast_Pericyte,,,
candidates_T2D_down,Tubular_epithelium_other,,,
candidates_T2D_down,Proliferating,,,
candidates_T2D_down,Urothelium,,,
candidates_T2D_down,Neutrophil,,,
